"Park Name","month","Monthly_temp"
"Biscayne",1,70.4148924731183
"Biscayne",2,72.4296428571429
"Biscayne",3,72.3713978494624
"Biscayne",4,77.1231805555555
"Biscayne",5,80.8867338709677
"Biscayne",6,81.9578472222222
"Biscayne",7,84.2572849462366
"Biscayne",8,84.0445698924731
"Biscayne",9,83.3828194444445
"Black Canyon",1,30.4625403225806
"Black Canyon",2,39.1715922619048
"Black Canyon",3,48.7304306864065
"Black Canyon",4,49.5762222222222
"Black Canyon",5,55.7665188172043
"Black Canyon",6,69.6225972222222
"Black Canyon",7,74.1697580645161
"Black Canyon",8,68.6756451612903
"Black Canyon",9,62.9670277777778
"Black Canyon",10,49.2668951612903
"Black Canyon",11,44.8748206599713
"Channel Islands",1,53.9291129032258
"Channel Islands",2,54.8705952380952
"Channel Islands",3,61.5010349462366
"Channel Islands",4,64.1705138888889
"Channel Islands",5,64.884502688172
"Channel Islands",6,70.0140555555556
"Channel Islands",7,74.8416666666667
"Channel Islands",8,74.5625134408602
"Channel Islands",9,72.9334583333333
"Channel Islands",10,70.9700539083558
"Channel Islands",11,64.0980774748924
"Death Valley",1,53.9291129032258
"Death Valley",2,54.8705952380952
"Death Valley",3,61.5010349462366
"Death Valley",4,64.1705138888889
"Death Valley",5,64.884502688172
"Death Valley",6,70.0140555555556
"Death Valley",7,74.8416666666667
"Death Valley",8,74.5625134408602
"Death Valley",9,72.9334583333333
"Death Valley",10,70.9700539083558
"Death Valley",11,64.0980774748924
"Dry Tortugas",1,70.4148924731183
"Dry Tortugas",2,72.4296428571429
"Dry Tortugas",3,72.3713978494624
"Dry Tortugas",4,77.1231805555555
"Dry Tortugas",5,80.8867338709677
"Dry Tortugas",6,81.9578472222222
"Dry Tortugas",7,84.2572849462366
"Dry Tortugas",8,84.0445698924731
"Dry Tortugas",9,83.3828194444445
"Everglades",1,70.4148924731183
"Everglades",2,72.4296428571429
"Everglades",3,72.3713978494624
"Everglades",4,77.1231805555555
"Everglades",5,80.8867338709677
"Everglades",6,81.9578472222222
"Everglades",7,84.2572849462366
"Everglades",8,84.0445698924731
"Everglades",9,83.3828194444445
"Great Sand Dunes",1,30.4625403225806
"Great Sand Dunes",2,39.1715922619048
"Great Sand Dunes",3,48.7304306864065
"Great Sand Dunes",4,49.5762222222222
"Great Sand Dunes",5,55.7665188172043
"Great Sand Dunes",6,69.6225972222222
"Great Sand Dunes",7,74.1697580645161
"Great Sand Dunes",8,68.6756451612903
"Great Sand Dunes",9,62.9670277777778
"Great Sand Dunes",10,49.2668951612903
"Great Sand Dunes",11,44.8748206599713
"Joshua Tree",1,53.9291129032258
"Joshua Tree",2,54.8705952380952
"Joshua Tree",3,61.5010349462366
"Joshua Tree",4,64.1705138888889
"Joshua Tree",5,64.884502688172
"Joshua Tree",6,70.0140555555556
"Joshua Tree",7,74.8416666666667
"Joshua Tree",8,74.5625134408602
"Joshua Tree",9,72.9334583333333
"Joshua Tree",10,70.9700539083558
"Joshua Tree",11,64.0980774748924
"Lassen Volcanic",1,49.2157258064516
"Lassen Volcanic",2,53.306130952381
"Lassen Volcanic",3,56.562002688172
"Lassen Volcanic",4,59.1997777777778
"Lassen Volcanic",5,62.6116397849462
"Lassen Volcanic",6,67.2827777777778
"Lassen Volcanic",7,68.3298924731183
"Lassen Volcanic",8,66.5498788694482
"Lassen Volcanic",9,69.2060138888889
"Mesa Verde",1,30.4625403225806
"Mesa Verde",2,39.1715922619048
"Mesa Verde",3,48.7304306864065
"Mesa Verde",4,49.5762222222222
"Mesa Verde",5,55.7665188172043
"Mesa Verde",6,69.6225972222222
"Mesa Verde",7,74.1697580645161
"Mesa Verde",8,68.6756451612903
"Mesa Verde",9,62.9670277777778
"Mesa Verde",10,49.2668951612903
"Mesa Verde",11,44.8748206599713
"Pinnacles",1,49.2157258064516
"Pinnacles",2,53.306130952381
"Pinnacles",3,56.562002688172
"Pinnacles",4,59.1997777777778
"Pinnacles",5,62.6116397849462
"Pinnacles",6,67.2827777777778
"Pinnacles",7,68.3298924731183
"Pinnacles",8,66.5498788694482
"Pinnacles",9,69.2060138888889
"Redwoods",1,49.2157258064516
"Redwoods",2,53.306130952381
"Redwoods",3,56.562002688172
"Redwoods",4,59.1997777777778
"Redwoods",5,62.6116397849462
"Redwoods",6,67.2827777777778
"Redwoods",7,68.3298924731183
"Redwoods",8,66.5498788694482
"Redwoods",9,69.2060138888889
"Rocky Mountain",1,30.4625403225806
"Rocky Mountain",2,39.1715922619048
"Rocky Mountain",3,48.7304306864065
"Rocky Mountain",4,49.5762222222222
"Rocky Mountain",5,55.7665188172043
"Rocky Mountain",6,69.6225972222222
"Rocky Mountain",7,74.1697580645161
"Rocky Mountain",8,68.6756451612903
"Rocky Mountain",9,62.9670277777778
"Rocky Mountain",10,49.2668951612903
"Rocky Mountain",11,44.8748206599713
"Yosemite",1,49.2157258064516
"Yosemite",2,53.306130952381
"Yosemite",3,56.562002688172
"Yosemite",4,59.1997777777778
"Yosemite",5,62.6116397849462
"Yosemite",6,67.2827777777778
"Yosemite",7,68.3298924731183
"Yosemite",8,66.5498788694482
"Yosemite",9,69.2060138888889
